,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
20,5000,67.0,235,0.04601430000002438,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",arithmetic,0.01,0.0001,0.001,0.009995398569999998,0.01,5000,
21,0,0.0,0,0.00012289999995118706,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",geometric,0.1,0.99,0.001,0.0999998764814487,0.1,5000,
22,10,0.0,20,0.00997300000000223,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,0.1,0.99,0.001,0.0999899773023592,0.1,5000,
23,50,67.0,62,0.021107400000005327,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,0.1,0.99,0.001,0.09997878860403535,0.1,5000,
24,250,67.0,235,0.050114899999982754,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,0.1,0.99,0.001,0.09994964552449709,0.1,5000,
25,500,67.0,235,0.050114899999982754,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,0.1,0.99,0.001,0.09994964552449709,0.1,5000,
26,1000,67.0,235,0.050114899999982754,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,0.1,0.99,0.001,0.09994964552449709,0.1,5000,
27,5000,67.0,235,0.050114899999982754,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,0.1,0.99,0.001,0.09994964552449709,0.1,5000,
28,0,0.0,0,0.00011879999999564461,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",exponential,0.1,,0.001,0.09999994060001766,0.1,5000,0.005
29,10,0.0,20,0.010969599999953061,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,0.1,,0.001,0.09999451535041243,0.1,5000,0.005
30,50,67.0,62,0.024068899999974747,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,0.1,,0.001,0.0999879662741109,0.1,5000,0.005
31,250,67.0,235,0.0540529999999535,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,0.1,,0.001,0.09997297715182955,0.1,5000,0.005
32,500,67.0,235,0.0540529999999535,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,0.1,,0.001,0.09997297715182955,0.1,5000,0.005
33,1000,67.0,235,0.0540529999999535,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,0.1,,0.001,0.09997297715182955,0.1,5000,0.005
34,5000,67.0,235,0.0540529999999535,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,0.1,,0.001,0.09997297715182955,0.1,5000,0.005
35,0,0.0,0,9.840000001304361e-05,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",arithmetic,0.1,0.0001,0.001,0.09999999016000001,0.1,5000,
